chill_year,CP_season,CU_season,CH7_season,CH12_season,Tmean_season,n_days,yield_year
2015,0.0,-1918.5,0.0,63.0,18.19909006735981,123,2016
2016,0.0,-1510.0,0.0,132.0,17.189485248307474,123,2017
2017,0.0,-1594.0,0.0,85.0,17.45878732310993,123,2018
2018,0.0,-1300.5,0.0,100.0,16.77075980812661,123,2019
2019,1.0015394737663663,-1051.0,2.0,147.0,16.321239945625745,123,2020
2020,1.008019238280713,-1227.0,3.0,335.0,17.058069286402965,123,2021
2021,3.029690606961055,-1016.5,0.0,417.0,16.55968325945904,123,2022
2022,4.024588875343309,-889.5,0.0,489.0,16.029180732487994,123,2023
2023,0.0,-1792.0,0.0,30.0,18.45498804715187,123,2024
2024,0.0,-1506.5,0.0,125.0,17.601263488688325,123,2025
2025,0.0,-1640.5,0.0,0.0,17.587505930546453,123,2026
