yield_year,CDD30_BROT,CDD30_CREC,CDD30_CUAJ,CDD30_ENVE,CDD30_FLOR,ET0_sum_BROT,ET0_sum_CREC,ET0_sum_CUAJ,ET0_sum_ENVE,ET0_sum_FLOR,GDD10_BROT,GDD10_CREC,GDD10_CUAJ,GDD10_ENVE,GDD10_FLOR,HI_max_BROT,HI_max_CREC,HI_max_CUAJ,HI_max_ENVE,HI_max_FLOR,HOT_DAYS_BROT,HOT_DAYS_CREC,HOT_DAYS_CUAJ,HOT_DAYS_ENVE,HOT_DAYS_FLOR,KDD35_BROT,KDD35_CREC,KDD35_CUAJ,KDD35_ENVE,KDD35_FLOR,RH_mean_BROT,RH_mean_CREC,RH_mean_CUAJ,RH_mean_ENVE,RH_mean_FLOR,TROPN_BROT,TROPN_CREC,TROPN_CUAJ,TROPN_ENVE,TROPN_FLOR,Tmax_mean_BROT,Tmax_mean_CREC,Tmax_mean_CUAJ,Tmax_mean_ENVE,Tmax_mean_FLOR,Tmean_mean_BROT,Tmean_mean_CREC,Tmean_mean_CUAJ,Tmean_mean_ENVE,Tmean_mean_FLOR,Tmin_mean_BROT,Tmin_mean_CREC,Tmin_mean_CUAJ,Tmin_mean_ENVE,Tmin_mean_FLOR,KDD35_ANN,CDD30_ANN,TROPN_ANN,HI_max_ANN,HOT_DAYS_ANN,ET0_sum_ANN,GDD10_ANN,Tmax_mean_ANN,Tmin_mean_ANN,Tmean_mean_ANN,RH_mean_ANN
2016,0.0,0.10000000000000142,0.0,0.0,0.0,119.558858629,365.002599737,179.792903665,130.99091688,143.668016732,364.75,1005.6,528.95,457.95,432.80000000000007,20.54042553191489,28.362666666666666,25.202173913043477,25.74186046511627,22.230434782608697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.96542553170212,73.64948331693333,75.4874992276087,77.64792280651163,79.07760400826086,0.0,25.0,5.0,0.0,0.0,20.69787234042553,27.50133333333333,24.826086956521745,25.286046511627905,22.23478260869565,17.135904255106386,23.3880700296,21.012456086956526,20.285874495116282,18.705227260869563,14.823404255319147,19.314666666666668,18.171739130434784,16.013953488372092,16.582608695652173,0.0,1.1000000000000014,25.0,23.617039106145256,0.0,1191.437980963,3416.1500000000005,23.406703910614524,15.677932960893854,19.345035044385476,76.7487145424581
2017,0.0,2.6999999999999993,0.0,0.0,0.0,131.20398651899998,378.98877873900005,200.82095987399998,152.75402172000003,175.705531054,337.04999999999995,1039.05,456.20000000000005,491.85,422.45,19.982978723404255,29.34324324324324,25.13695652173913,25.863043478260867,22.46521739130435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.99802113276596,72.74739340567568,73.88447782021738,75.09953970804347,74.48183339282608,0.0,33.0,0.0,1.0,0.0,20.202127659574465,28.17432432432432,24.95652173913044,25.56521739130436,22.560869565217395,16.95495051,23.988619462702708,19.962199747826087,20.34323946978261,18.9762154176087,14.140425531914891,19.90810810810811,14.878260869565214,15.8195652173913,15.80652173913043,0.0,2.6999999999999993,34.0,23.344657534246572,0.0,1181.5938683059999,3433.5499999999997,23.129315068493153,15.684657534246574,19.08830740580822,76.9095467549041
2018,0.0,0.0,0.0,0.0,0.0,108.43643439200001,268.089548941,188.47748027500003,140.39166220700002,160.836081434,308.29999999999995,720.5000000000001,423.2,469.90000000000003,366.6,19.082978723404256,27.283050847457627,24.08695652173913,25.082608695652173,20.83478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.7913247538298,70.6221091762712,73.66259057934784,76.30245649695652,76.96318114869567,0.0,5.0,0.0,0.0,0.0,19.280851063829786,26.984745762711867,24.073913043478264,24.778260869565216,21.121739130434783,15.89125859,21.955425824067795,19.233605072826087,19.919432407608696,17.471536242608693,13.838297872340423,17.438983050847458,14.326086956521742,15.652173913043473,14.817391304347826,0.0,0.0,5.0,22.6950146627566,0.0,982.8400411289999,3083.7,22.661876832844577,15.424340175953079,18.641610433049852,77.05086461536658
2019,0.0,1.3999999999999986,0.0,0.0,0.0,110.08287760699997,281.78088143499997,142.53406779,160.360356319,152.25560337800005,318.3,825.0,412.85,460.0,432.6,19.317021276595742,28.1234375,25.621621621621617,24.634782608695648,22.69130434782609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.26401458297873,74.02987073765624,72.16531299162162,76.02386871695653,76.27693398391304,0.0,15.0,0.0,0.0,0.0,19.629787234042553,27.517187500000002,25.624324324324323,24.51739130434782,22.743478260869562,16.16824088617021,22.45878673234375,20.823485293783786,19.79306246130435,18.86167824173913,13.914893617021276,18.2640625,16.691891891891895,15.482608695652173,16.065217391304348,0.0,1.3999999999999986,15.0,22.495211267605633,0.0,1074.636993197,3073.5,22.484507042253522,14.830985915492958,18.22257596856338,78.08065247833802
2020,0.0,1.7000000000000028,0.0,0.0,0.0,100.68070255900001,314.97395890800004,193.30110444299999,168.59917451600003,142.604339831,274.3999999999999,906.8,481.85,494.6499999999999,352.99999999999994,18.076595744680848,27.906666666666666,25.721739130434784,25.913043478260875,21.602173913043483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.47539893659572,75.26797361413334,74.35597826021738,76.36413043478261,78.8273438623913,0.0,9.0,0.0,0.0,0.0,18.340425531914892,27.361333333333338,25.669565217391302,25.654347826086955,21.793478260869566,15.464605496170211,21.10504912813333,19.852694746521742,19.354393115869566,17.03088756630435,13.336170212765959,16.82,15.280434782608696,15.85217391304348,13.554347826086962,0.0,2.400000000000002,9.0,23.916393442622955,0.0,1250.509464142,3308.6000000000004,23.857650273224042,14.222131147540985,17.773841312622952,77.95136184409836
2021,0.0,0.0,0.0,0.0,0.0,130.074772418,308.098102629,177.37825768300007,159.71409007200006,154.251424802,306.25,741.5500000000001,435.79999999999995,434.25,383.35,20.542553191489365,25.11621621621622,24.42391304347826,24.36304347826087,22.83913043478261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.90856973957447,74.93944623959457,76.48438484521739,76.3867753621739,79.18749999999999,0.0,0.0,0.0,0.0,0.0,20.778723404255313,24.970270270270273,24.308695652173913,24.313043478260866,22.917391304347824,15.047532505957445,18.834009009054054,18.275888075434786,18.141938406086958,16.86304347826087,12.253191489361699,15.07162162162162,14.639130434782606,14.567391304347826,13.75,0.0,0.0,0.0,22.53835616438356,0.0,1143.08739171,2929.75,22.570958904109588,13.482465753424659,16.698721461315067,79.21814572180821
2022,0.0,0.0,0.0,0.0,0.0,114.016523061,247.57581877699997,159.40707550799996,143.056892436,148.239301136,266.65,636.25,423.5,364.15,337.8999999999999,19.523404255319154,24.812307692307694,23.971739130434777,23.602272727272727,21.893478260869564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.8373226948936,74.09423076892308,77.7259963771739,77.08355429272727,78.98188405847826,0.0,0.0,0.0,0.0,0.0,19.80851063829787,24.77076923076923,23.76739130434783,23.54318181818182,22.09347826086957,14.22078900702128,18.657500000153846,17.847916667173916,17.01148042977273,15.950588768478259,11.538297872340427,14.806153846153846,14.645652173913042,13.009090909090908,12.597826086956522,0.0,0.0,0.0,21.9969696969697,0.0,772.29376898,1955.7000000000003,22.099242424242423,12.716666666666667,16.10811342610606,78.2274936867803
2023,0.0,2.400000000000002,0.0,0.3999999999999986,0.0,107.612497841,202.452458434,27.490209402,168.781208926,54.133552582,223.10000000000002,557.5500000000001,66.75,503.05,135.59999999999997,19.17954545454546,26.652,21.766666666666666,27.018181818181816,22.10555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.85037878795455,76.48499999959999,78.47453703888888,75.20880681863635,78.69791666666667,0.0,0.0,0.0,1.0,0.0,19.54090909090909,26.014,21.955555555555556,26.450000000000003,22.08888888888889,13.591145833636363,19.8327083336,16.034722223333333,20.21041666636364,16.198379629444446,10.6,16.288,12.877777777777778,16.41590909090909,12.977777777777776,0.0,3.8000000000000007,2.0,24.42699386503067,0.0,1070.8828239359998,3129.75,24.109815950920243,15.091104294478527,18.23116372696319,79.06374616555215
2024,0.0,0.5,0.0,0.6000000000000014,0.0,125.47787028399999,254.83836897999996,174.21183172800002,34.099679868,137.581807422,379.0,737.3,463.05,93.99999999999999,369.5,22.589130434782607,27.838709677419352,25.264444444444443,24.619999999999997,24.072499999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.17663043413043,77.20362903274194,78.24953703733334,78.95262681099999,79.47786458350001,0.0,1.0,0.0,1.0,0.0,22.44347826086957,26.838709677419352,24.844444444444438,24.32,23.805,16.702853260434782,20.563474462258064,19.03189814822222,18.070235509000003,17.91661458325,14.034782608695652,16.94516129032258,15.735555555555557,14.48,14.670000000000002,0.0,3.400000000000002,7.0,24.831531531531525,0.0,755.4625900019998,2130.25,24.366216216216213,14.825225225225227,18.24257023328829,79.26175088139641
