yield_year,window,n_days,VPD_mean_kPa,VPD_max_mean_kPa,VPD_max_p95_kPa,Tmax_mean_C
2016,FLOR,46,0.4791039879873087,0.9291341512521233,1.1311494765662193,22.23478260869565
2016,CUAJ,46,0.6427234332117494,1.2396609558317215,1.4129928704112416,24.826086956521745
2016,CREC,75,0.7831388488631355,1.5612569091338655,1.8510141890650482,27.50133333333333
2017,FLOR,46,0.5806714246815396,1.0786706998752293,1.2382519524531963,22.560869565217395
2017,CUAJ,46,0.637445866871314,1.4117626517703952,1.6624352941349403,24.95652173913044
2017,CREC,74,0.8447436198106425,1.6789454994905206,2.1301549186625888,28.17432432432432
2018,FLOR,46,0.4860537451694505,0.9350558625834651,1.094517657768185,21.121739130434783
2018,CUAJ,46,0.614938680100301,1.3086891906073748,1.6383538234105064,24.073913043478264
2018,CREC,59,0.8233363473294704,1.675928193285309,2.0133093362923282,26.984745762711864
2019,FLOR,46,0.548796501577209,1.0792071228287339,1.2898743834471622,22.743478260869562
2019,CUAJ,37,0.7242067190828165,1.4907954879782235,1.7614339789170126,25.624324324324323
2019,CREC,64,0.7517928268500031,1.6204235657189798,1.9634075771125878,27.517187500000002
2020,FLOR,46,0.44794206552742427,1.0443660811686497,1.5931949230973177,21.793478260869566
2020,CUAJ,46,0.6492825323204616,1.5210894287941192,1.8793819458591219,25.669565217391302
2020,CREC,75,0.7049300440595404,1.6665401418075274,2.205188330964508,27.361333333333338
2022,FLOR,46,0.44844217335229014,1.0605546686407952,1.7751770251717323,22.09347826086957
2022,CUAJ,46,0.5246261924876479,1.18827659162697,1.9032852520285015,23.76739130434783
2022,CREC,65,0.6444205015027265,1.3511819948657007,1.771278121174402,24.77076923076923
2023,FLOR,18,0.47374489546248344,1.0535417399449292,1.596427254990336,22.08888888888889
2023,CUAJ,9,0.4713937691819166,1.089020642313127,1.6777709130269116,21.955555555555556
2023,CREC,50,0.6448979476153043,1.4137837727682356,1.9916489547223137,26.014
2024,FLOR,40,0.4905085724044061,1.1280737537050651,1.5860414443036246,23.805
2024,CUAJ,45,0.5469557944344969,1.2039680559940926,1.679443406054092,24.844444444444438
2024,CREC,62,0.6423448935078124,1.417840033675813,1.8980135541757093,26.838709677419352
