dT_winter,CP_mean,Tmean_chill,Tmean_CREC,yield_med,yield_lo,yield_hi
0.0,1.2955497304549692,16.975137707835895,22.20953870691189,6.0577461756158515,4.468308416624976,9.039881546670308
0.25,1.0077722255714068,17.224863166364866,22.459099192299586,4.968059642201065,3.757927742111518,8.140318794432362
0.5,0.5746537423245106,17.474588624893837,22.708659677687283,4.0594439690035875,3.0979972245472416,8.320544494585254
0.75,0.4322763377729149,17.724314083422808,22.958220163074976,3.3018110018483915,2.4832395667469838,8.635687037443242
1.0,0.14440259954640394,17.974039541951782,23.20778064846267,2.6700722702233604,1.9110369507747265,9.129027706577878
1.25,0.0,18.22376500048075,23.45734113385037,2.143308200632094,1.3691518454660307,9.547479402800253
1.5,0.0,18.473490459009724,23.706901619238067,1.704075379971235,0.9227749472597697,10.094540006387334
1.75,0.0,18.7232159175387,23.95646210462576,1.3378289294580434,0.5781333895141754,10.612908980954128
2.0,0.0,18.972941376067663,24.206022590013454,1.0324408614359661,0.30895374958179983,11.201579420772177
2.25,0.0,19.222666834596634,24.455583075401155,0.7777984697907141,0.10726205112587266,11.663110972797671
2.5,0.0,19.47239229312561,24.70514356078885,0.5654694549644865,0.0,11.914686254616058
2.75,0.0,19.722117751654583,24.954704046176545,0.3884226944239919,0.0,12.539322333937758
3.0,0.0,19.97184321018355,25.20426453156424,0.24079541209738076,0.0,13.231183855042113
3.25,0.0,20.221568668712525,25.453825016951942,0.11769903676349247,0.0,13.906837788375062
3.5,0.0,20.471294127241496,25.70338550233964,0.015057320533715446,0.0,14.643827934213844
3.75,0.0,20.721019585770467,25.952945987727333,0.0,0.0,15.417232113633608
4.0,0.0,20.970745044299438,26.202506473115022,0.0,0.0,16.22068525185477
4.25,0.0,21.22047050282841,26.45206695850272,0.0,0.0,17.064694244304167
4.5,0.0,21.47019596135738,26.70162744389042,0.0,0.0,17.951306226320423
4.75,0.0,21.719921419886354,26.951187929278117,0.0,0.0,18.83851447516757
5.0,0.0,21.969646878415322,27.200748414665807,0.0,0.0,19.71805253599523
